
****************************************

  MemTrackerLog 

       Sep 25 2024  
       19:48:13  

****************************************

External Libs: 

Leak(658)  16 bytes ref:2166 
Leak(659)  32 bytes ref:2167 
Leak(660)  16 bytes ref:2169 
Leak(661)  32 bytes ref:2170 
Leak(662)  16 bytes ref:2172 
Leak(663)  32 bytes ref:2173 
Leak(664)  16 bytes ref:2175 
Leak(665)  32 bytes ref:2176 
Leak(666)  16 bytes ref:2178 
Leak(667)  32 bytes ref:2179 
Leak(668)  16 bytes ref:2181 
Leak(669)  32 bytes ref:2182 
Leak(670)  16 bytes ref:2184 
Leak(671)  48 bytes ref:2185 
Leak(672)  16 bytes ref:2187 
Leak(673)  32 bytes ref:2188 
Leak(674)  16 bytes ref:2190 
Leak(675)  32 bytes ref:2191 
Leak(676)  16 bytes ref:2193 
Leak(677)  32 bytes ref:2194 
Leak(678)  16 bytes ref:2196 
Leak(679)  32 bytes ref:2197 
Leak(680)  16 bytes ref:2199 
Leak(681)  32 bytes ref:2200 
Leak(682)  16 bytes ref:2202 
Leak(683)  32 bytes ref:2203 
Leak(684)  16 bytes ref:2205 
Leak(685)  32 bytes ref:2206 
Leak(686)  16 bytes ref:2208 
Leak(687)  32 bytes ref:2209 
Leak(688)  16 bytes ref:2211 
Leak(689)  48 bytes ref:2212 
Leak(690)  16 bytes ref:2214 
Leak(691)  32 bytes ref:2215 
Leak(692)  16 bytes ref:2217 
Leak(693)  32 bytes ref:2218 
Leak(694)  16 bytes ref:2220 
Leak(695)  32 bytes ref:2221 
Leak(696)  16 bytes ref:2223 
Leak(697)  32 bytes ref:2224 
Leak(698)  16 bytes ref:2226 
Leak(699)  32 bytes ref:2227 
Leak(700)  16 bytes ref:2229 
Leak(701)  32 bytes ref:2230 
Leak(702)  16 bytes ref:2232 
Leak(703)  48 bytes ref:2233 
Leak(704)  16 bytes ref:2235 
Leak(705)  48 bytes ref:2236 
Leak(706)  16 bytes ref:2238 
Leak(707)  32 bytes ref:2239 
Leak(708)  16 bytes ref:2241 
Leak(709)  32 bytes ref:2242 
Leak(710)  16 bytes ref:2244 
Leak(711)  32 bytes ref:2245 
Leak(712)  16 bytes ref:2247 
Leak(713)  32 bytes ref:2248 
Leak(714)  16 bytes ref:2250 
Leak(715)  32 bytes ref:2251 
Leak(716)  16 bytes ref:2253 
Leak(717)  32 bytes ref:2254 
Leak(718)  16 bytes ref:2256 
Leak(719)  32 bytes ref:2257 
Leak(720)  16 bytes ref:2259 
Leak(721)  48 bytes ref:2260 
Leak(722)  16 bytes ref:2262 
Leak(723)  32 bytes ref:2263 
Leak(724)  16 bytes ref:2265 
Leak(725)  32 bytes ref:2266 
Leak(726)  16 bytes ref:2268 
Leak(727)  32 bytes ref:2269 
Leak(728)  16 bytes ref:2271 
Leak(729)  32 bytes ref:2272 
Leak(730)  16 bytes ref:2274 
Leak(731)  32 bytes ref:2275 
Leak(732)  16 bytes ref:2277 
Leak(733)  48 bytes ref:2278 
Leak(734)  16 bytes ref:2280 
Leak(735)  48 bytes ref:2281 
Leak(736)  16 bytes ref:2283 
Leak(737)  32 bytes ref:2284 
Leak(738)  16 bytes ref:2286 
